home_team,away_team,home_score,away_score,home_manager,away_manager,Attendance,Venue,Round,Referee,Host,Year
Scotland,Netherlands,3,2,Alistair Macleod,Ernst Happel,35130,"San Martin, Mendoza",First round,Erich Linemayr,Argentina,1978
France,Hungary,3,1,Michel Hidalgo,Lajos Baroti,23127,"Estadio Josï¿½ Marï¿½a Minella, Mar Del Plata",First round,Arnaldo Coelho,Argentina,1978
Poland,Mexico,3,1,Jacek Gmoch,Jose Roca,22651,"Arroyito - Estadio Dr. Lisandro de la Torre, Rosario",First round,Jafar Namdar,Argentina,1978
West Germany,Tunisia,0,0,Helmut Schoen,Abdelmajid Chetali,30667,"Estadio Olï¿½mpico Chateau Carreras, Cordoba",First round,Cesar Orozco Guerrero,Argentina,1978
Italy,Argentina,1,0,Enzo Bearzot,Cesar Luis Menotti,71712,"El Monumental - Estadio Monumental Antonio Vespuci, Buenos Aires",First round,Abraham Klein,Argentina,1978
Austria,Sweden,1,0,Helmut Senekowitsch,Georg Ericson,41424,"Jose Amalfitani, Buenos Aires",First round,Charles Corver,Argentina,1978
Brazil,Spain,0,0,Claudio Coutinho,Ladislao Kubala,34771,"Estadio Josï¿½ Marï¿½a Minella, Mar Del Plata",First round,Sergio Gonella,Argentina,1978
Netherlands,Peru,0,0,Ernst Happel,Marcos Calderon,28125,"San Martin, Mendoza",First round,Adolf Prokop,Argentina,1978
Scotland,IR Iran,1,1,Alistair Macleod,Heshmat Mohadjerani,7938,"Estadio Olï¿½mpico Chateau Carreras, Cordoba",First round,Youssou Ndiaye,Argentina,1978
Italy,Hungary,3,1,Enzo Bearzot,Lajos Baroti,26533,"Estadio Josï¿½ Marï¿½a Minella, Mar Del Plata",First round,Ramon Barreto Ruiz,Argentina,1978
West Germany,Mexico,6,0,Helmut Schoen,Jose Roca,35258,"Estadio Olï¿½mpico Chateau Carreras, Cordoba",First round,Farouk Bouzo,Argentina,1978
Poland,Tunisia,1,0,Jacek Gmoch,Abdelmajid Chetali,9624,"Arroyito - Estadio Dr. Lisandro de la Torre, Rosario",First round,Angel Martinez,Argentina,1978
Argentina,France,2,1,Cesar Luis Menotti,Michel Hidalgo,71666,"El Monumental - Estadio Monumental Antonio Vespuci, Buenos Aires",First round,Jean Dubach,Argentina,1978
Sweden,Brazil,1,1,Georg Ericson,Claudio Coutinho,32569,"Estadio Josï¿½ Marï¿½a Minella, Mar Del Plata",First round,Clive Thomas,Argentina,1978
Austria,Spain,2,1,Helmut Senekowitsch,Ladislao Kubala,40841,"Jose Amalfitani, Buenos Aires",First round,Karoly Palotai,Argentina,1978
Peru,Scotland,3,1,Marcos Calderon,Alistair Macleod,37927,"Estadio Olï¿½mpico Chateau Carreras, Cordoba",First round,Ulf Eriksson,Argentina,1978
Netherlands,IR Iran,3,0,Ernst Happel,Heshmat Mohadjerani,33431,"San Martin, Mendoza",First round,Alfonso Gonzalez Archundia,Argentina,1978
Italy,France,2,1,Enzo Bearzot,Michel Hidalgo,42373,"Estadio Josï¿½ Marï¿½a Minella, Mar Del Plata",First round,Nicolae Rainea,Argentina,1978
Tunisia,Mexico,3,1,Abdelmajid Chetali,Jose Roca,17396,"Arroyito - Estadio Dr. Lisandro de la Torre, Rosario",First round,John Gordon,Argentina,1978
Argentina,Hungary,2,1,Cesar Luis Menotti,Lajos Baroti,71615,"El Monumental - Estadio Monumental Antonio Vespuci, Buenos Aires",First round,Antonio Garrido,Argentina,1978
West Germany,Poland,0,0,Helmut Schoen,Jacek Gmoch,67579,"El Monumental - Estadio Monumental Antonio Vespuci, Buenos Aires",First round,Norberto Angel Coerezza,Argentina,1978
Netherlands,West Germany,1,2,Rinus Michels,Helmut Schoen,78200,"Olympiastadion, Munich",Final,John Taylor,Germany,1974
Brazil,Poland,0,1,Mario Zagallo,Kazimierz Gorski,77100,"Olympiastadion, Munich",Third-place match,Aurelio Angonese,Germany,1974
Poland,West Germany,0,1,Kazimierz Gorski,Helmut Schoen,62000,"Waldstadion, Frankfurt/Main",Second round,Erich Linemayr,Germany,1974
Netherlands,Brazil,2,0,Rinus Michels,Mario Zagallo,53700,"Westfalenstadion, Dortmund",Second round,Kurt Tschenscher,Germany,1974
Argentina,Germany DR,1,1,Vladislao Cap,Georg Buschner,54254,"Parkstadion, Gelsenkirchen",Second round,John Taylor,Germany,1974
Sweden,Yugoslavia,2,1,Georg Ericson,Miljan Miljanic,41300,"Rheinstadion, Dï¿½Sseldorf",Second round,Luis Pestarino,Germany,1974
Poland,Yugoslavia,2,1,Kazimierz Gorski,Miljan Miljanic,58000,"Waldstadion, Frankfurt/Main",Second round,Rudolf Gloeckner,Germany,1974
Argentina,Brazil,1,2,Vladislao Cap,Mario Zagallo,39400,"Niedersachsenstadion, Hanover",Second round,Vital Loraux,Germany,1974
Germany DR,Netherlands,0,2,Georg Buschner,Rinus Michels,68348,"Parkstadion, Gelsenkirchen",Second round,Ruedi Scheurer,Germany,1974
West Germany,Sweden,4,2,Helmut Schoen,Georg Ericson,67800,"Rheinstadion, Dï¿½Sseldorf",Second round,Pavel Kazakov,Germany,1974
Yugoslavia,West Germany,0,2,Miljan Miljanic,Helmut Schoen,67385,"Rheinstadion, Dï¿½Sseldorf",Second round,Armando Marques,Germany,1974
Brazil,Germany DR,1,0,Mario Zagallo,Georg Buschner,59863,"Niedersachsenstadion, Hanover",Second round,Clive Thomas,Germany,1974
Sweden,Poland,0,1,Georg Ericson,Kazimierz Gorski,44955,"Neckarstadion, Stuttgart",Second round,Ramon Barreto Ruiz,Germany,1974
Netherlands,Argentina,4,0,Rinus Michels,Vladislao Cap,56548,"Parkstadion, Gelsenkirchen",Second round,Bob Davidson,Germany,1974
Bulgaria,Netherlands,1,4,Hristo Mladenov,Rinus Michels,53300,"Westfalenstadion, Dortmund",First round,Tony Boskovic,Germany,1974
Poland,Italy,2,1,Kazimierz Gorski,Ferruccio Valcareggi,70100,"Neckarstadion, Stuttgart",First round,Hans Joachim Weyland,Germany,1974
Sweden,Uruguay,3,0,Georg Ericson,Roberto Porta,28300,"Rheinstadion, Dï¿½Sseldorf",First round,Erich Linemayr,Germany,1974
Argentina,Haiti,4,1,Vladislao Cap,Antoine Tassy,25900,"Olympiastadion, Munich",First round,Pablo Sanchez Ibanez,Germany,1974
Scotland,Yugoslavia,1,1,Willie Ormond,Miljan Miljanic,56000,"Waldstadion, Frankfurt/Main",First round,Alfonso Gonzalez Archundia,Germany,1974
Australia,Chile,0,0,Rale Rasic,Luis Alamos,17400,"Olympiastadion, Berlin West",First round,Jafar Namdar,Germany,1974
Zaire,Brazil,0,3,Blagoje Vidinic,Mario Zagallo,36200,"Parkstadion, Gelsenkirchen",First round,Nicolae Rainea,Germany,1974
Germany DR,West Germany,1,0,Georg Buschner,Helmut Schoen,60200,"Volksparkstadion, Hamburg",First round,Ramon Barreto Ruiz,Germany,1974
Haiti,Poland,0,7,Antoine Tassy,Kazimierz Gorski,25300,"Olympiastadion, Munich",First round,George Suppiah,Germany,1974
Bulgaria,Uruguay,1,1,Hristo Mladenov,Roberto Porta,13400,"Niedersachsenstadion, Hanover",First round,John Taylor,Germany,1974
Netherlands,Sweden,0,0,Rinus Michels,Georg Ericson,53700,"Westfalenstadion, Dortmund",First round,Werner Winsemann,Germany,1974
Argentina,Italy,1,1,Vladislao Cap,Ferruccio Valcareggi,70100,"Neckarstadion, Stuttgart",First round,Pavel Kazakov,Germany,1974
Australia,West Germany,0,3,Rale Rasic,Helmut Schoen,53300,"Volksparkstadion, Hamburg",First round,Mahmoud Kamel,Germany,1974
Yugoslavia,Zaire,9,0,Miljan Miljanic,Blagoje Vidinic,31700,"Parkstadion, Gelsenkirchen",First round,Omar Delgado,Germany,1974
Chile,Germany DR,1,1,Luis Alamos,Georg Buschner,28300,"Olympiastadion, Berlin West",First round,Aurelio Angonese,Germany,1974
Scotland,Brazil,0,0,Willie Ormond,Mario Zagallo,62000,"Waldstadion, Frankfurt/Main",First round,Arie Van Gemert,Germany,1974
Uruguay,Netherlands,0,2,Roberto Porta,Rinus Michels,55100,"Niedersachsenstadion, Hanover",First round,Karoly Palotai,Germany,1974
Sweden,Bulgaria,0,0,Georg Ericson,Hristo Mladenov,23800,"Rheinstadion, Dï¿½Sseldorf",First round,Edison A. Perez Nunez,Germany,1974
Italy,Haiti,3,1,Ferruccio Valcareggi,Antoine Tassy,53000,"Olympiastadion, Munich",First round,Vicente Llobregat,Germany,1974
Poland,Argentina,3,2,Kazimierz Gorski,Vladislao Cap,32700,"Neckarstadion, Stuttgart",First round,Clive Thomas,Germany,1974
West Germany,Chile,1,0,Helmut Schoen,Luis Alamos,81100,"Olympiastadion, Berlin West",First round,Dogan Babacan,Germany,1974
Germany DR,Australia,2,0,Georg Buschner,Rale Rasic,17000,"Volksparkstadion, Hamburg",First round,Youssou Ndiaye,Germany,1974
Zaire,Scotland,0,2,Blagoje Vidinic,Willie Ormond,27000,"Westfalenstadion, Dortmund",First round,Gerhard Schulenburg,Germany,1974
Brazil,Yugoslavia,0,0,Mario Zagallo,Miljan Miljanic,62000,"Waldstadion, Frankfurt/Main",First round,Ruedi Scheurer,Germany,1974
Brazil,Italy,4,1,Mario Zagallo,Ferruccio Valcareggi,107412,"Estadio Azteca, Mexico City",Final,Rudolf Gloeckner,Mexico,1970
West Germany,Uruguay,1,0,Helmut Schoen,Juan Hohberg,104403,"Estadio Azteca, Mexico City",Third-place match,Antonio Sbardella,Mexico,1970
Italy,West Germany,4,3,Ferruccio Valcareggi,Helmut Schoen,102444,"Estadio Azteca, Mexico City",Semi-finals,Arturo Yamasaki Maldonado,Mexico,1970
Brazil,Uruguay,3,1,Mario Zagallo,Juan Hohberg,51261,"Jalisco, Guadalajara",Semi-finals,Jose Maria Ortiz De Mendibil,Mexico,1970
Brazil,Peru,4,2,Mario Zagallo,Didi,54233,"Jalisco, Guadalajara",Quarter-finals,Vital Loraux,Mexico,1970
Italy,Mexico,4,1,Ferruccio Valcareggi,Raul Cardenas,26851,"Luis Dosal, Toluca",Quarter-finals,Ruedi Scheurer,Mexico,1970
Uruguay,Soviet Union,1,0,Juan Hohberg,Gavril Kachalin,26085,"Estadio Azteca, Mexico City",Quarter-finals,Laurens Van Ravens,Mexico,1970
West Germany,England,3,2,Helmut Schoen,Alf Ramsey,23357,"Nou Camp - Estadio Leï¿½n, Leon",Quarter-finals,Norberto Angel Coerezza,Mexico,1970
Mexico,Belgium,1,0,Raul Cardenas,Raymond Goethals,108192,"Estadio Azteca, Mexico City",Group stage,Norberto Angel Coerezza,Mexico,1970
Italy,Israel,0,0,Ferruccio Valcareggi,Emmanuel Sheffer,9890,"Luis Dosal, Toluca",Group stage,Ayrton Vieira De Moraes,Mexico,1970
Bulgaria,Morocco,1,1,Stefan Bozhkov,Blagoje Vidinic,12299,"Nou Camp - Estadio Leï¿½n, Leon",Group stage,Antonio Saldanha Ribeiro,Mexico,1970
England,Czechoslovakia,1,0,Alf Ramsey,Jozef Marko,49292,"Jalisco, Guadalajara",Group stage,Roger Machin,Mexico,1970
West Germany,Peru,3,1,Helmut Schoen,Didi,17875,"Nou Camp - Estadio Leï¿½n, Leon",Group stage,Abel Aguilar Elizalde,Mexico,1970
Brazil,Romania,3,2,Mario Zagallo,Angelo Niculescu,50804,"Jalisco, Guadalajara",Group stage,Ferdinand Marschall,Mexico,1970
Sweden,Uruguay,1,0,Orvar Bergmark,Juan Hohberg,18163,"Cuauhtemoc, Puebla",Group stage,Henry Landauer,Mexico,1970
Soviet Union,El Salvador,2,0,Gavril Kachalin,Hernan Carrasco,89979,"Estadio Azteca, Mexico City",Group stage,Rafael Hormazabal Diaz,Mexico,1970
Mexico,El Salvador,4,0,Raul Cardenas,Hernan Carrasco,103058,"Estadio Azteca, Mexico City",Group stage,Aly Hussein Kandil,Mexico,1970
Brazil,England,1,0,Mario Zagallo,Alf Ramsey,66843,"Jalisco, Guadalajara",Group stage,Abraham Klein,Mexico,1970
West Germany,Bulgaria,5,2,Helmut Schoen,Stefan Bozhkov,12710,"Nou Camp - Estadio Leï¿½n, Leon",Group stage,Jose Maria Ortiz De Mendibil,Mexico,1970
Sweden,Israel,1,1,Orvar Bergmark,Emmanuel Sheffer,9624,"Luis Dosal, Toluca",Group stage,Seyoum Tarekegn,Mexico,1970
Romania,Czechoslovakia,2,1,Angelo Niculescu,Jozef Marko,56818,"Jalisco, Guadalajara",Group stage,Diego De Leo,Mexico,1970
Uruguay,Italy,0,0,Juan Hohberg,Ferruccio Valcareggi,29968,"Cuauhtemoc, Puebla",Group stage,Rudolf Gloeckner,Mexico,1970
Soviet Union,Belgium,4,1,Gavril Kachalin,Raymond Goethals,95261,"Estadio Azteca, Mexico City",Group stage,Ruedi Scheurer,Mexico,1970
Peru,Morocco,3,0,Didi,Blagoje Vidinic,13537,"Nou Camp - Estadio Leï¿½n, Leon",Group stage,Tofik Bakhramov,Mexico,1970
Belgium,El Salvador,3,0,Raymond Goethals,Hernan Carrasco,92205,"Estadio Azteca, Mexico City",Group stage,Andrei Radulescu,Mexico,1970
Brazil,Czechoslovakia,4,1,Mario Zagallo,Jozef Marko,52897,"Jalisco, Guadalajara",Group stage,Ramon Barreto Ruiz,Mexico,1970
Italy,Sweden,1,0,Ferruccio Valcareggi,Orvar Bergmark,13433,"Luis Dosal, Toluca",Group stage,John Taylor,Mexico,1970
West Germany,Morocco,2,1,Helmut Schoen,Blagoje Vidinic,12942,"Nou Camp - Estadio Leï¿½n, Leon",Group stage,Laurens Van Ravens,Mexico,1970
England,Romania,1,0,Alf Ramsey,Angelo Niculescu,50560,"Jalisco, Guadalajara",Group stage,Vital Loraux,Mexico,1970
Peru,Bulgaria,3,2,Didi,Stefan Bozhkov,13765,"Nou Camp - Estadio Leï¿½n, Leon",Group stage,Antonio Sbardella,Mexico,1970
Uruguay,Israel,2,0,Juan Hohberg,Emmanuel Sheffer,20654,"Cuauhtemoc, Puebla",Group stage,Bob Davidson,Mexico,1970
Mexico,Soviet Union,0,0,Raul Cardenas,Gavril Kachalin,107160,"Estadio Azteca, Mexico City",Group stage,Kurt Tschenscher,Mexico,1970
England,West Germany,4,2,Alf Ramsey,Helmut Schoen,96924,"Wembley Stadium, London",Final,Gottfried Dienst,England,1966
Portugal,Soviet Union,2,1,Otto Gloria,Nikolai Morozov,87696,"Wembley Stadium, London",Third-place match,Kenneth Dagnall,England,1966
England,Portugal,2,1,Alf Ramsey,Otto Gloria,94493,"Wembley Stadium, London",Semi-finals,Pierre Schwinte,England,1966
West Germany,Soviet Union,2,1,Helmut Schoen,Nikolai Morozov,38273,"Goodison Park, Liverpool",Semi-finals,Concetto Lo Bello,England,1966
Portugal,Korea DPR,5,3,Otto Gloria,Rye Hyun Myung,40248,"Goodison Park, Liverpool",Quarter-finals,Menachem Ashkenazi,England,1966
England,Argentina,1,0,Alf Ramsey,Juan Carlos Lorenzo,90584,"Wembley Stadium, London",Quarter-finals,Rudolf Kreitlein,England,1966
Soviet Union,Hungary,2,1,Nikolai Morozov,Lajos Baroti,26844,"Roker Park Ground, Sunderland",Quarter-finals,Juan Gardeazabal,England,1966
West Germany,Uruguay,4,0,Helmut Schoen,Ondino Viera,40007,"Hillsborough, Sheffield",Quarter-finals,Jim Finney,England,1966
England,France,2,0,Alf Ramsey,Henri Guerin,98270,"Wembley Stadium, London",Group stage,Arturo Yamasaki Maldonado,England,1966
Hungary,Bulgaria,3,1,Lajos Baroti,Rudolf Vytlacil,24129,"Old Trafford Stadium, Manchester",Group stage,Roberto Goicoechea,England,1966
West Germany,Spain,2,1,Helmut Schoen,Jose Villalonga,42187,"Villa Park, Birmingham",Group stage,Armando Marques,England,1966
Soviet Union,Chile,2,1,Nikolai Morozov,Luis Alamos,16027,"Roker Park Ground, Sunderland",Group stage,John Adair,England,1966
Uruguay,Mexico,0,0,Ondino Viera,Ignacio Trellez,61112,"Wembley Stadium, London",Group stage,Bertil Loeoew,England,1966
Argentina,Switzerland,2,0,Juan Carlos Lorenzo,Alfredo Foni,32127,"Hillsborough, Sheffield",Group stage,Joaquim Fernandes Campos,England,1966
Portugal,Brazil,3,1,Otto Gloria,Vicente Feola,58479,"Goodison Park, Liverpool",Group stage,George Mccabe,England,1966
Korea DPR,Italy,1,0,Rye Hyun Myung,Edmondo Fabbri,17829,"Ayresome Park, Middlesbrough",Group stage,Pierre Schwinte,England,1966
West Germany,Argentina,0,0,Helmut Schoen,Juan Carlos Lorenzo,46587,"Villa Park, Birmingham",Group stage,Konstantin Zecevic,England,1966
Soviet Union,Italy,1,0,Nikolai Morozov,Edmondo Fabbri,27793,"Roker Park Ground, Sunderland",Group stage,Rudolf Kreitlein,England,1966
Portugal,Bulgaria,3,0,Otto Gloria,Rudolf Vytlacil,25438,"Old Trafford Stadium, Manchester",Group stage,Jose Maria Codesal,England,1966
England,Mexico,2,0,Alf Ramsey,Ignacio Trellez,92570,"Wembley Stadium, London",Group stage,Concetto Lo Bello,England,1966
Spain,Switzerland,2,1,Jose Villalonga,Alfredo Foni,32028,"Hillsborough, Sheffield",Group stage,Tofik Bakhramov,England,1966
Uruguay,France,2,1,Ondino Viera,Henri Guerin,45662,"White City, London",Group stage,Karol Galba,England,1966
Hungary,Brazil,3,1,Lajos Baroti,Vicente Feola,51387,"Goodison Park, Liverpool",Group stage,Kenneth Dagnall,England,1966
Korea DPR,Chile,1,1,Rye Hyun Myung,Luis Alamos,13792,"Ayresome Park, Middlesbrough",Group stage,Aly Hussein Kandil,England,1966
Argentina,Spain,2,1,Juan Carlos Lorenzo,Jose Villalonga,42738,"Villa Park, Birmingham",Group stage,Dimitar Rumentchev,England,1966
France,Mexico,1,1,Henri Guerin,Ignacio Trellez,69237,"Wembley Stadium, London",Group stage,Menachem Ashkenazi,England,1966
Italy,Chile,2,0,Edmondo Fabbri,Luis Alamos,27199,"Roker Park Ground, Sunderland",Group stage,Gottfried Dienst,England,1966
Portugal,Hungary,3,1,Otto Gloria,Lajos Baroti,29886,"Old Trafford Stadium, Manchester",Group stage,Leo Callaghan,England,1966
Brazil,Bulgaria,2,0,Vicente Feola,Rudolf Vytlacil,47308,"Goodison Park, Liverpool",Group stage,Kurt Tschenscher,England,1966
Soviet Union,Korea DPR,3,0,Nikolai Morozov,Rye Hyun Myung,23006,"Ayresome Park, Middlesbrough",Group stage,Juan Gardeazabal,England,1966
West Germany,Switzerland,5,0,Helmut Schoen,Alfredo Foni,36127,"Hillsborough, Sheffield",Group stage,Hugh Phillips,England,1966
England,Uruguay,0,0,Alf Ramsey,Ondino Viera,87148,"Wembley Stadium, London",Group stage,Istvan Zsolt,England,1966
Brazil,Czechoslovakia,3,1,Aymore Moreira,Rudolf Vytlacil,68679,"Nacional, Santiago De Chile",Final,Nikolaj Latychev,Chile,1962
Chile,Yugoslavia,1,0,Fernando Riera,Ljubomir Lovric,66697,"Nacional, Santiago De Chile",Third-place match,Juan Gardeazabal,Chile,1962
Brazil,Chile,4,2,Aymore Moreira,Fernando Riera,76594,"Nacional, Santiago De Chile",Semi-finals,Arturo Yamasaki Maldonado,Chile,1962
Czechoslovakia,Yugoslavia,3,1,Rudolf Vytlacil,Ljubomir Lovric,5890,"Estadio Sausalito, Vina Del Mar",Semi-finals,Gottfried Dienst,Chile,1962
Chile,Soviet Union,2,1,Fernando Riera,Gavril Kachalin,17268,"Carlos Dittborn, Arica",Quarter-finals,Leo Horn,Chile,1962
Brazil,England,3,1,Aymore Moreira,Walter Winterbottom,17736,"Estadio Sausalito, Vina Del Mar",Quarter-finals,Pierre Schwinte,Chile,1962
Czechoslovakia,Hungary,1,0,Rudolf Vytlacil,Lajos Baroti,11690,"Estadio El Teniente-Codelco, Rancagua",Quarter-finals,Nikolaj Latychev,Chile,1962
Yugoslavia,West Germany,1,0,Ljubomir Lovric,Sepp Herberger,63324,"Nacional, Santiago De Chile",Quarter-finals,Arturo Yamasaki Maldonado,Chile,1962
England,Bulgaria,0,0,Walter Winterbottom,Georgi Pachedzhiev,5700,"Estadio El Teniente-Codelco, Rancagua",Group stage,Arthur Blavier,Chile,1962
Mexico,Czechoslovakia,3,1,Ignacio Trellez,Rudolf Vytlacil,10648,"Estadio Sausalito, Vina Del Mar",Group stage,Gottfried Dienst,Chile,1962
Italy,Switzerland,3,0,Paolo Mazza,Karl Rappan,59828,"Nacional, Santiago De Chile",Group stage,Nikolaj Latychev,Chile,1962
Yugoslavia,Colombia,5,0,Ljubomir Lovric,Adolfo Pedernera,7167,"Carlos Dittborn, Arica",Group stage,Carlos Robles,Chile,1962
West Germany,Chile,2,0,Sepp Herberger,Fernando Riera,67224,"Nacional, Santiago De Chile",Group stage,Bob Davidson,Chile,1962
Soviet Union,Uruguay,2,1,Gavril Kachalin,Juan Carlos Corazzo,9973,"Carlos Dittborn, Arica",Group stage,Cesare Jonni,Chile,1962
Hungary,Argentina,0,0,Lajos Baroti,Juan Carlos Lorenzo,7945,"Estadio El Teniente-Codelco, Rancagua",Group stage,Arturo Yamasaki Maldonado,Chile,1962
Brazil,Spain,2,1,Aymore Moreira,Helenio Herrera,18715,"Estadio Sausalito, Vina Del Mar",Group stage,Sergio Bustamante,Chile,1962
Spain,Mexico,1,0,Helenio Herrera,Ignacio Trellez,11875,"Estadio Sausalito, Vina Del Mar",Group stage,Branko Tesanic,Chile,1962
Soviet Union,Colombia,4,4,Gavril Kachalin,Adolfo Pedernera,8040,"Carlos Dittborn, Arica",Group stage,Joao Etzel Filho,Chile,1962
Hungary,Bulgaria,6,1,Lajos Baroti,Georgi Pachedzhiev,7442,"Estadio El Teniente-Codelco, Rancagua",Group stage,Juan Gardeazabal,Chile,1962
West Germany,Switzerland,2,1,Sepp Herberger,Karl Rappan,64922,"Nacional, Santiago De Chile",Group stage,Leo Horn,Chile,1962
Chile,Italy,2,0,Fernando Riera,Paolo Mazza,66057,"Nacional, Santiago De Chile",Group stage,Ken Aston,Chile,1962
Brazil,Czechoslovakia,0,0,Aymore Moreira,Rudolf Vytlacil,14903,"Estadio Sausalito, Vina Del Mar",Group stage,Pierre Schwinte,Chile,1962
England,Argentina,3,1,Walter Winterbottom,Juan Carlos Lorenzo,9794,"Estadio El Teniente-Codelco, Rancagua",Group stage,Nikolaj Latychev,Chile,1962
Yugoslavia,Uruguay,3,1,Ljubomir Lovric,Juan Carlos Corazzo,8829,"Carlos Dittborn, Arica",Group stage,Karol Galba,Chile,1962
West Germany,Italy,0,0,Sepp Herberger,Paolo Mazza,65440,"Nacional, Santiago De Chile",Group stage,Bob Davidson,Chile,1962
Hungary,England,2,1,Lajos Baroti,Walter Winterbottom,7938,"Estadio El Teniente-Codelco, Rancagua",Group stage,Leo Horn,Chile,1962
Czechoslovakia,Spain,1,0,Rudolf Vytlacil,Helenio Herrera,12700,"Estadio Sausalito, Vina Del Mar",Group stage,Carl Steiner,Chile,1962
Soviet Union,Yugoslavia,2,0,Gavril Kachalin,Ljubomir Lovric,9622,"Carlos Dittborn, Arica",Group stage,Albert Dusch,Chile,1962
Chile,Switzerland,3,1,Fernando Riera,Karl Rappan,65006,"Nacional, Santiago De Chile",Group stage,Ken Aston,Chile,1962
Uruguay,Colombia,2,1,Juan Carlos Corazzo,Adolfo Pedernera,7908,"Carlos Dittborn, Arica",Group stage,Andor Dorogi,Chile,1962
Brazil,Mexico,2,0,Aymore Moreira,Ignacio Trellez,10484,"Estadio Sausalito, Vina Del Mar",Group stage,Gottfried Dienst,Chile,1962
Argentina,Bulgaria,1,0,Juan Carlos Lorenzo,Georgi Pachedzhiev,7134,"Estadio El Teniente-Codelco, Rancagua",Group stage,Juan Gardeazabal,Chile,1962
Brazil,Sweden,5,2,Vicente Feola,George Raynor,49737,"Rasunda Stadium, Solna",Final,Maurice Guigue,Sweden,1958
France,West Germany,6,3,Albert Batteaux,Sepp Herberger,32483,"Nya Ullevi, Gothenburg",Third-place match,Juan Brozzi,Sweden,1958
Sweden,West Germany,3,1,George Raynor,Sepp Herberger,49471,"Nya Ullevi, Gothenburg",Semi-finals,Istvan Zsolt,Sweden,1958
Brazil,France,5,2,Vicente Feola,Albert Batteaux,27100,"Rasunda Stadium, Solna",Semi-finals,Benjamin Griffiths,Sweden,1958
France,Northern Ireland,4,0,Albert Batteaux,Peter Doherty,11800,"Idrottsparken, Norrkï¿½Ping",Quarter-finals,Juan Gardeazabal,Sweden,1958
West Germany,Yugoslavia,1,0,Sepp Herberger,Aleksandar Tirnanic,20055,"Malmo Stadion, Malmï¿½",Quarter-finals,Paul Wyssling,Sweden,1958
Brazil,Wales,1,0,Vicente Feola,James Murphy,25923,"Nya Ullevi, Gothenburg",Quarter-finals,Fritz Seipelt,Sweden,1958
Sweden,Soviet Union,2,0,George Raynor,Gavril Kachalin,31900,"Rasunda Stadium, Solna",Quarter-finals,Reginald Leafe,Sweden,1958
Northern Ireland,Czechoslovakia,2,1,Peter Doherty,Karel Kolsky,6196,"Malmo Stadion, Malmï¿½",Group stage play-off,Maurice Guigue,Sweden,1958
Wales,Hungary,2,1,James Murphy,Lajos Baroti,2823,"Rasunda Stadium, Solna",Group stage play-off,Nikolaj Latychev,Sweden,1958
Soviet Union,England,1,0,Gavril Kachalin,Walter Winterbottom,23182,"Nya Ullevi, Gothenburg",Group stage play-off,Albert Dusch,Sweden,1958
Sweden,Wales,0,0,George Raynor,James Murphy,30287,"Rasunda Stadium, Solna",Group stage,Lucien Van Nuffel,Sweden,1958
Paraguay,Yugoslavia,3,3,Aurelio Gonzalez,Aleksandar Tirnanic,13103,"Tunavallen, Eskilstuna",Group stage,Martin Macko,Sweden,1958
West Germany,Northern Ireland,2,2,Sepp Herberger,Peter Doherty,21990,"Malmo Stadion, Malmï¿½",Group stage,Joaquim Fernandes Campos,Sweden,1958
Czechoslovakia,Argentina,6,1,Karel Kolsky,Guillermo Stabile,16418,"Olympia Stadium, Helsingborg",Group stage,Arthur Ellis,Sweden,1958
England,Austria,2,2,Walter Winterbottom,Josef Argauer,15872,"Ryavallen, Boras",Group stage,Jan Bronkhorst,Sweden,1958
Brazil,Soviet Union,2,0,Vicente Feola,Gavril Kachalin,50928,"Nya Ullevi, Gothenburg",Group stage,Maurice Guigue,Sweden,1958
Hungary,Mexico,4,0,Lajos Baroti,Antonio Lopez,13300,"Jarnvallen, Sandviken",Group stage,Arne Eriksson,Sweden,1958
France,Scotland,2,1,Albert Batteaux,Dawson Walker,13554,"Eyravallen, Orebro",Group stage,Juan Brozzi,Sweden,1958
Sweden,Hungary,2,1,George Raynor,Lajos Baroti,38850,"Rasunda Stadium, Solna",Group stage,Jack Mowat,Sweden,1958
Soviet Union,Austria,2,0,Gavril Kachalin,Josef Argauer,21239,"Ryavallen, Boras",Group stage,Carl Frederik Jorgensen,Sweden,1958
West Germany,Czechoslovakia,2,2,Sepp Herberger,Karel Kolsky,25000,"Olympia Stadium, Helsingborg",Group stage,Arthur Ellis,Sweden,1958
Argentina,Northern Ireland,3,1,Guillermo Stabile,Peter Doherty,14174,"Orjans Vall, Halmstad",Group stage,Sten Ahlner,Sweden,1958
Yugoslavia,France,3,2,Aleksandar Tirnanic,Albert Batteaux,12217,"Arosvallen, Vasteras",Group stage,Benjamin Griffiths,Sweden,1958
Paraguay,Scotland,3,2,Aurelio Gonzalez,Dawson Walker,11665,"Idrottsparken, Norrkï¿½Ping",Group stage,Vincenzo Orlandini,Sweden,1958
Brazil,England,0,0,Vicente Feola,Walter Winterbottom,40895,"Nya Ullevi, Gothenburg",Group stage,Albert Dusch,Sweden,1958
Mexico,Wales,1,1,Antonio Lopez,James Murphy,15150,"Rasunda Stadium, Solna",Group stage,Leo Lemesic,Sweden,1958
Sweden,Mexico,3,0,George Raynor,Antonio Lopez,34107,"Rasunda Stadium, Solna",Group stage,Nikolaj Latychev,Sweden,1958
